CommentId,VideoId,CommentDate,CommentLikes,Text
UgxT9D2XJdu342B5goB4AaABAg,5vF4si3hoRA,2019-08-30T23:03:12Z,0,"They literally ganged up on random people who weren’t black and beat them up. How is this non violent? So you fight racism with racism? Also who’s communities are you burning? The media riled all these people up for a cause they don’t give a fuck about, so once a police officer kills someone it’s a major headline? Hundreds die in Chicago all the time, this is just pandering."
Ugz7OagWhfMC9L13wWR4AaABAg,5vF4si3hoRA,2019-08-07T21:47:47Z,1,"This here, what happened in Ferguson is the only reason that another person in a neighboring state would be wrongfully sentenced to prison.  For crimes he didn't commit. 

And this right here is exactly my second amendment right WILL NEVER CHANGE. 

We can ALL play dirty."
Ugw4z44iwiI-a6ekvnB4AaABAg,5vF4si3hoRA,2019-07-28T22:38:32Z,25,"01:24 😂😂🤦‍♂️ ""..I've been hit by much worse in my day.."" 🍆"
UgyrcGu-KVW2cPvEwz14AaABAg,5vF4si3hoRA,2019-07-28T21:55:32Z,0,"Congrats, you just put the burning of a city on a dead mans name..."
UgzqEeg7grLhVqATQHh4AaABAg,5vF4si3hoRA,2019-07-15T21:35:44Z,0,This is not what community looks like dumbass
UgzNwtDiNwNu0aRq29p4AaABAg,5vF4si3hoRA,2019-07-10T15:29:02Z,1,How about a boat ride to Africa?
UgwUItCxm1EOOQBWjO14AaABAg,5vF4si3hoRA,2019-07-02T21:46:32Z,0,Sometimes I wish I could've been there to fight for this shit
UgyWbTuw5V5TIET_GIJ4AaABAg,5vF4si3hoRA,2019-06-24T23:45:40Z,1,How doesn't this embarrass the rest of the black community? Your breaking into and looting stores in your neighborhood. Lightning cars on fire because your upset? Real logical...
UgwBu2vxuLxDWp-P1Oh4AaABAg,5vF4si3hoRA,2019-06-24T22:09:44Z,1,CNN loved it
UgzbjAQYJ-aQ1Dglaol4AaABAg,5vF4si3hoRA,2019-06-24T05:30:31Z,0,"Mass disillusionment, this is what happens. Everyone’s hurting and lots don’t know how to handle it well. Assholes are assholes usually because of this."
UgywUHsIE-s5rYiVz5x4AaABAg,5vF4si3hoRA,2019-06-16T12:41:19Z,0,When she got hit by a rock her head sounded like it’s made  of metal
Ugxn6MdGBDrj1CuBqfB4AaABAg,5vF4si3hoRA,2019-06-13T16:50:25Z,0,"Fuck the police and also fuck this particular metro pcs, McDonald’s, and beauty shop!"
UgyPAH2p_NM6OEKgEMl4AaABAg,5vF4si3hoRA,2019-06-12T19:53:15Z,1,"ladies and gentleman, blacks in their native habitat.  Do not approach or attempt to feed them"
Ugw3FuAF0tkElpNY3LZ4AaABAg,5vF4si3hoRA,2019-06-12T19:32:00Z,3,the only thing i regret is police did not use deadly force when dealing with violent protests
UgzNqeJxvAb7aHbHSat4AaABAg,5vF4si3hoRA,2019-06-02T00:25:23Z,0,beautiful!!!!
UgxJx0G-_LvAT2tlhTJ4AaABAg,5vF4si3hoRA,2019-05-31T18:51:51Z,2,Found the scarlxrd sample
Ugwp0VTZrPeIqSc4i4F4AaABAg,5vF4si3hoRA,2019-05-16T14:42:41Z,1,peaceful protests my ass   it’s just niggas being niggas🤣
Ugygm8GVPju0urK4NWB4AaABAg,5vF4si3hoRA,2019-05-07T09:51:34Z,0,They don’t care about Michael Brown. They’re angry and over opportunistic unemployed animals
UgzLeZwbetg0GKd9fgV4AaABAg,5vF4si3hoRA,2019-04-30T02:11:39Z,0,Luke ch 18:2-8
Ugwo0E4mm_-N1Pxaxyd4AaABAg,5vF4si3hoRA,2019-04-18T23:53:07Z,2,Notice this shit doesn't happen under Trump ? That's because Obama was a joke of a leader.
UgyuNSwQUbkWKRBprwt4AaABAg,5vF4si3hoRA,2019-03-20T05:11:26Z,1,You gotta separate out the peaceful protestors from the criminal ones. Don't just group em together. And guess what? Not all of them were black. There were plenty of white people and Latinos there. Including myself.
UgwyXl5Zf1YUXBc1huJ4AaABAg,5vF4si3hoRA,2019-03-02T19:16:29Z,1,“And if you turn to your right” *turns left*
UgxLzgvp9zIF_-a-jex4AaABAg,5vF4si3hoRA,2019-01-21T03:42:33Z,3,"Be a thug, get a slug."
UgzNM-Xg8uA1KGGet-J4AaABAg,5vF4si3hoRA,2019-01-20T02:43:22Z,6,"This brought that guy back to life 
👍"
UgwgE5YY1U8ht-nC8QN4AaABAg,5vF4si3hoRA,2019-01-10T07:00:06Z,0,"Lmao all they did was waste their own money on new police shit, burnt down innocents stores, and push to end violence yet a black guy was threatening a white guys life so the white guy shot him in self defense and then those fuckers start burning shit. Seems logically right? Thats why people like this are stuck in the slums because theyre too stupid and can’t think of a logically solution to anything."
UgzfqDtlQLO6-TchZEh4AaABAg,5vF4si3hoRA,2018-12-09T19:57:11Z,2,"Hands up don't shoot, PANTS UP DON'T LOOT!"
UgwIEvyti-rMR1uFFvt4AaABAg,5vF4si3hoRA,2018-12-09T04:51:03Z,14,And I think to myself... *WHAT A WONDERFUL WORLD*
UgxjchAsvfQfYXKp0BF4AaABAg,5vF4si3hoRA,2018-12-01T17:44:30Z,0,This way why the Rams returned to Los Angeles in 2016!
UgyTD4bz9Be0zBX_c8R4AaABAg,5vF4si3hoRA,2018-11-27T23:40:24Z,1,BLM doing what they do best... Crime
UgxPbk3Qbji4OORBDil4AaABAg,5vF4si3hoRA,2018-11-27T08:05:14Z,0,Man I would love this I could get a new iPhone for fucking free and burn down my hated people
UgxxIN53DnsWcae8LHZ4AaABAg,5vF4si3hoRA,2018-11-18T23:48:00Z,0,All of those fuckers should be shot lol dumb ass rioters don’t know shit😂😂
Ugwz4Qt5dHpq1CN3e6x4AaABAg,5vF4si3hoRA,2018-11-11T00:57:52Z,1,Dirtbags all of them. Including CNN
Ugy-Yxh8AlYqYEnabhl4AaABAg,5vF4si3hoRA,2018-10-15T13:59:46Z,1,Lmao rip mc Donald’s
UgwpR4KwVmzqdAA9pZB4AaABAg,5vF4si3hoRA,2018-10-07T13:36:44Z,1,Why did the protesters break the window of the McDonalds for what did McDonalds do to them
UgycpZrKfmbL1-GNN-t4AaABAg,5vF4si3hoRA,2018-09-24T06:58:31Z,0,Fuck da police
UgwA3wpt9L23teyoh3h4AaABAg,5vF4si3hoRA,2018-09-05T21:00:24Z,1,"1:23 
yEEt"
UgxG-PObU6MKJ6rApVB4AaABAg,5vF4si3hoRA,2018-05-16T01:09:59Z,1,"Lowlifes thugs destroying an entire city because one of their thugs homies died attacking a police officer in duty. That's reality, and the useful idiots from left approves it."
